gene,isoform_id,length,A_molpct,C_molpct,D_molpct,E_molpct,F_molpct,G_molpct,H_molpct,I_molpct,K_molpct,L_molpct,M_molpct,N_molpct,P_molpct,Q_molpct,R_molpct,S_molpct,T_molpct,V_molpct,W_molpct,Y_molpct
TTN,Q8WZ42-1,34350,6.0670,1.4934,5.0073,9.2955,2.6434,6.0146,1.3916,6.0029,8.5677,6.1630,1.1587,3.2344,7.3275,2.7424,4.7744,7.1703,7.4119,9.2693,1.3566,2.9083
TTN,Q8WZ42-4,33445,6.0637,1.4890,5.0172,9.2151,2.6431,6.0487,1.3844,5.9859,8.6141,6.0667,1.1452,3.2262,7.3823,2.6701,4.8557,7.1162,7.4301,9.3407,1.3814,2.9242
NEB,P20929-2,8525,7.4135,0.8094,7.6833,6.1232,1.6188,3.3314,2.9912,5.3959,11.9179,7.3079,2.7801,4.7507,4.0587,4.9501,4.1525,6.4751,4.8328,5.8651,1.5718,5.9707
NEB,P20929-1,6669,7.1675,0.7797,7.8123,6.1329,1.7994,3.2839,3.1039,5.0232,12.4306,7.1525,2.7740,4.5584,4.0636,4.7533,4.0936,6.3728,5.2931,5.8779,1.3645,6.1628
MYL1,P05976-1,194,13.4021,0.5155,5.1546,11.3402,4.6392,5.6701,1.0309,4.6392,9.7938,7.2165,3.6082,5.1546,6.7010,3.6082,2.5773,4.1237,3.6082,6.1856,0.0000,1.0309
MYL1,P05976-2,150,8.6667,0.6667,5.3333,12.0000,6.0000,7.3333,1.3333,4.6667,6.6667,8.6667,4.6667,6.6667,2.0000,4.0000,3.3333,5.3333,4.6667,6.6667,0.0000,1.3333
TNNT3,P45378-1,269,9.6654,0.0000,6.6914,19.7026,1.4870,3.3457,2.2305,3.7175,14.4981,7.0632,1.4870,1.4870,2.6022,5.9480,9.2937,2.9740,2.6022,2.9740,0.7435,1.4870
TNNT3,P45378-2,258,9.3023,0.0000,6.9767,18.9922,1.5504,3.4884,1.5504,3.8760,15.1163,7.3643,1.5504,1.5504,2.3256,6.2016,9.6899,3.1008,2.7132,2.3256,0.7752,1.5504
MYOM1,P52179-1,1685,7.5371,1.5430,5.0445,8.6647,3.2047,6.7656,2.0178,4.3917,8.3680,6.4095,1.4243,3.2047,4.9852,3.7389,4.8071,9.1988,5.5193,7.8338,1.6024,3.7389
MYOM1,P52179-2,1589,7.6149,1.5733,5.0346,8.8106,3.3354,6.6079,2.0768,4.6570,8.2442,6.2933,1.5104,3.2725,4.4682,3.5872,4.9087,8.9364,5.4751,7.9295,1.6992,3.9648
CAPZB,P47756-2,272,4.7794,2.2059,9.5588,5.5147,1.8382,6.6176,1.4706,4.4118,8.4559,11.3971,2.5735,4.4118,3.3088,4.7794,5.1471,8.8235,3.6765,6.2500,1.4706,3.3088
CAPZB,P47756-1,277,3.9711,1.8051,9.7473,5.0542,1.8051,6.4982,1.4440,5.7762,7.2202,11.1913,2.5271,4.6931,3.9711,5.7762,5.4152,8.6643,3.6101,5.7762,1.4440,3.6101
MYBPC1,Q00872-1,1141,6.9238,1.5776,6.3979,8.7642,3.2428,6.1350,1.3146,7.4496,9.2025,5.8720,1.8405,3.7686,6.5732,2.8046,4.6450,5.0833,6.3979,7.0990,1.5776,3.3304
MYBPC1,Q00872-4,1171,6.4902,1.5371,6.3194,8.7959,3.3305,6.3194,1.3664,7.2588,9.0521,6.0632,1.7933,3.7575,6.8318,2.9889,4.6968,5.1238,6.3194,7.1734,1.5371,3.2451
