gene,accession,segment_set,length,mature_range,removed_residues,A_molpct,C_molpct,D_molpct,E_molpct,F_molpct,G_molpct,H_molpct,I_molpct,K_molpct,L_molpct,M_molpct,N_molpct,P_molpct,Q_molpct,R_molpct,S_molpct,T_molpct,V_molpct,W_molpct,Y_molpct
MYL1,P05976,metabolic,194,2-194,M,13.4021,0.5155,5.1546,11.3402,4.6392,5.6701,1.0309,4.6392,9.7938,7.2165,3.6082,5.1546,6.7010,3.6082,2.5773,4.1237,3.6082,6.1856,0.0000,1.0309
MYL1,P05976,master,194,2-194,M,13.4715,0.5181,5.1813,11.3990,4.6632,5.6995,1.0363,4.6632,9.8446,7.2539,3.1088,5.1813,6.7358,3.6269,2.5907,4.1451,3.6269,6.2176,0.0000,1.0363
MYL11,Q96A32,metabolic,169,2-169,M,7.1006,1.1834,8.8757,8.8757,7.1006,7.6923,0.5917,5.9172,9.4675,5.3254,4.1420,4.1420,3.5503,4.1420,4.1420,3.5503,6.5089,5.9172,0.5917,1.1834
MYL11,Q96A32,master,169,2-169,M,7.1429,1.1905,8.9286,8.9286,7.1429,7.7381,0.5952,5.9524,9.5238,5.3571,3.5714,4.1667,3.5714,4.1667,4.1667,3.5714,6.5476,5.9524,0.5952,1.1905
MYL3,P08590,metabolic,195,2-195,M,8.2051,1.5385,5.6410,12.8205,5.1282,6.1538,1.5385,3.5897,9.7436,7.1795,4.6154,3.0769,8.2051,3.5897,4.1026,2.5641,5.6410,5.1282,0.0000,1.5385
MYL3,P08590,master,195,2-195,M,8.2474,1.5464,5.6701,12.8866,5.1546,6.1856,1.5464,3.6082,9.7938,7.2165,4.1237,3.0928,8.2474,3.6082,4.1237,2.5773,5.6701,5.1546,0.0000,1.5464
MYL2,P10916,metabolic,166,2-166,M,8.4337,0.0000,7.8313,10.2410,8.4337,6.6265,1.2048,5.4217,9.6386,5.4217,4.2169,6.0241,4.2169,3.6145,3.6145,1.8072,6.0241,6.0241,0.0000,1.2048
MYL2,P10916,master,166,2-166,M,8.4848,0.0000,7.8788,10.3030,8.4848,6.6667,1.2121,5.4545,9.6970,5.4545,3.6364,6.0606,4.2424,3.6364,3.6364,1.8182,6.0606,6.0606,0.0000,1.2121
ACTA1,P68133,metabolic,377,3-377,MC,7.6923,1.5915,5.8355,7.4271,3.1830,7.4271,2.3873,7.9576,5.0398,6.8966,4.5093,3.1830,5.0398,2.9178,4.7745,6.1008,7.1618,5.5703,1.0610,4.2440
ACTA1,P68133,master,377,3-377,MC,7.7333,1.3333,5.8667,7.4667,3.2000,7.4667,2.4000,8.0000,5.0667,6.9333,4.2667,3.2000,5.0667,2.9333,4.8000,6.1333,7.2000,5.6000,1.0667,4.2667
